Category,Price,Rating,Stock,Discount
C,5296.0,2.741556903,Out of Stock,34.0
C,5348.0,1.587225808,Out of Stock,31.0
C,6248.0,2.88913025,In Stock,39.0
C,8369.0,1.774151571,In Stock,44.0
C,3155.0,2.756254196,In Stock,6.0
C,2539.0,3.082060052,In Stock,9.0
C,3112.0,3.082060052,Out of Stock,16.0
D,2489.0,4.668760788,In Stock,42.0
C,5533.0,3.082060052,In Stock,34.0
C,8603.0,1.895138279,Out of Stock,35.0
C,6989.0,3.082060052,Out of Stock,10.0
D,3064.0,1.783514836,Out of Stock,22.0
C,176.0,3.082060052,Out of Stock,33.0
C,8159.0,3.09958404,Out of Stock,31.0
A,5080.0,2.117221312,Out of Stock,1.0
C,5642.0,3.082060052,In Stock,28.0
C,7027.0,1.815593804,In Stock,25.0
C,8407.0,1.13401815,Out of Stock,38.0
C,878.0,3.082060052,In Stock,41.0
C,2546.0,1.158313467,Out of Stock,34.0
C,9537.0,3.082060052,Out of Stock,25.0
C,9600.0,3.316477941,In Stock,32.0
C,7194.0,3.329432651,In Stock,38.0
C,6968.0,3.739367233,In Stock,25.0
C,6292.0,1.155726981,Out of Stock,17.0
C,4870.0,3.082060052,Out of Stock,14.0
C,6737.0,3.082060052,In Stock,38.0
C,250.0,1.436882566,In Stock,30.0
C,4996.5,3.42631698,In Stock,7.0
C,312.0,1.537020149,In Stock,39.0
D,8394.0,1.818813296,Out of Stock,22.0
C,1421.0,4.23336229,In Stock,25.0
C,8693.0,3.186790809,In Stock,24.0
C,2846.0,3.64085803,In Stock,6.0
C,3671.0,3.082060052,In Stock,47.0
C,766.0,3.457552836,In Stock,19.0
C,615.0,3.082060052,Out of Stock,2.0
C,4309.0,3.082060052,Out of Stock,17.0
C,2947.0,1.093895333,Out of Stock,25.0
C,2841.0,2.510971236,In Stock,40.0
B,3923.0,1.475052808,In Stock,10.0
C,5658.0,3.963020663,In Stock,29.0
C,6759.0,3.082060052,Out of Stock,35.0
C,685.0,3.082060052,Out of Stock,24.0
C,5206.0,3.082060052,In Stock,35.0
C,5814.0,4.155485925,Out of Stock,12.0
C,1419.0,2.375571908,In Stock,1.0
A,6016.0,1.844219155,In Stock,1.0
C,5961.0,3.082060052,In Stock,18.0
C,9489.0,3.082060052,In Stock,5.0
C,1558.0,3.082060052,In Stock,12.0
C,3892.0,1.980228881,In Stock,6.0
C,6904.0,3.082060052,Out of Stock,36.0
C,663.0,3.084386434,Out of Stock,5.0
A,1910.0,4.817531509,In Stock,25.0
C,2804.0,1.354193998,Out of Stock,35.0
D,8625.0,4.025419857,In Stock,36.0
C,8800.0,4.36678652,Out of Stock,26.0
C,3689.0,3.082060052,Out of Stock,3.0
A,6869.0,3.010511246,Out of Stock,49.0
C,3601.0,3.082060052,In Stock,22.0
C,6657.0,3.082060052,In Stock,47.0
C,4996.5,3.082060052,Out of Stock,35.0
D,5146.0,3.082060052,In Stock,10.0
B,4242.0,3.993229234,Out of Stock,47.0
C,7098.0,1.301853306,In Stock,23.0
A,3348.0,3.082060052,In Stock,16.0
C,4592.0,3.082060052,Out of Stock,25.0
A,7005.0,3.082060052,In Stock,22.0
A,5074.0,3.082060052,Out of Stock,41.0
A,9602.0,3.082060052,In Stock,31.0
C,3742.0,4.209122066,In Stock,19.0
D,454.0,3.082060052,Out of Stock,32.0
C,4903.0,4.615306042,In Stock,39.0
C,9658.0,3.082060052,Out of Stock,15.0
C,4198.0,3.082060052,Out of Stock,29.0
A,6336.0,3.648349511,In Stock,11.0
C,9794.0,4.43355968,In Stock,39.0
D,2201.0,3.082060052,In Stock,25.0
C,5323.0,3.082060052,Out of Stock,16.0
A,9152.0,4.768849527,Out of Stock,11.0
C,5420.0,3.082060052,Out of Stock,21.0
D,4763.0,3.082060052,Out of Stock,11.0
C,247.0,3.082060052,In Stock,25.0
C,2060.0,4.743226108,Out of Stock,25.0
A,3372.0,3.082060052,In Stock,5.0
D,8544.0,3.082060052,In Stock,29.0
C,4996.5,3.082060052,In Stock,47.0
C,3299.0,3.00489845,Out of Stock,32.0
C,2107.0,3.082060052,Out of Stock,11.0
C,6765.0,3.4017721,In Stock,35.0
C,1853.0,3.082060052,Out of Stock,11.0
C,8773.0,3.892084161,Out of Stock,25.0
C,6671.0,3.082060052,In Stock,30.0
C,8398.0,3.407813915,Out of Stock,4.0
D,8742.0,3.082060052,In Stock,4.0
C,8334.0,2.562769446,In Stock,16.0
B,2790.0,3.082060052,In Stock,25.0
B,6781.0,3.082060052,Out of Stock,21.0
C,1215.0,2.382519172,In Stock,30.0
A,4996.5,3.082060052,In Stock,14.0
C,8857.0,3.082060052,In Stock,15.0
D,2882.0,3.691887481,Out of Stock,25.0
C,6234.0,3.082060052,In Stock,28.0
C,1214.0,1.488996797,In Stock,4.0
A,6991.0,1.099149137,In Stock,21.0
C,3364.0,3.082060052,Out of Stock,3.0
C,8785.0,1.23113598,Out of Stock,11.0
C,7313.0,3.082060052,Out of Stock,1.0
C,9999.0,1.834954053,In Stock,30.0
C,8760.0,3.082060052,In Stock,49.0
B,7933.0,3.082060052,In Stock,36.0
C,6092.0,2.596015228,Out of Stock,39.0
C,5178.0,3.335105401,In Stock,20.0
C,8863.0,3.082060052,Out of Stock,25.0
D,8514.0,4.704094089,Out of Stock,46.0
A,7939.0,1.820137988,Out of Stock,48.0
A,1439.0,1.499808924,In Stock,28.0
C,6981.0,3.082060052,Out of Stock,24.0
C,7682.0,2.309511396,Out of Stock,22.0
C,5937.0,3.082060052,In Stock,25.0
A,185.0,3.082060052,Out of Stock,9.0
C,5796.0,3.082060052,In Stock,44.0
C,3646.0,3.082060052,Out of Stock,33.0
C,6547.0,3.590183981,In Stock,6.0
C,1523.0,1.246447334,Out of Stock,22.0
C,9483.0,2.823328922,In Stock,25.0
C,9045.0,3.082060052,In Stock,39.0
C,7897.0,3.082060052,In Stock,27.0
C,7384.0,3.082060052,Out of Stock,24.0
A,597.0,3.082060052,Out of Stock,40.0
C,6194.0,3.223523934,In Stock,14.0
C,1454.0,3.082060052,In Stock,37.0
C,8628.0,3.082060052,In Stock,14.0
D,4996.5,3.082060052,In Stock,43.0
C,1401.0,3.082060052,In Stock,25.0
C,9590.0,3.082060052,In Stock,41.0
C,4467.0,3.082060052,In Stock,0.0
C,8003.0,1.27196341,Out of Stock,5.0
C,5934.0,3.082060052,In Stock,18.0
C,2861.0,4.204148109,In Stock,25.0
C,5376.0,1.72914477,In Stock,8.0
C,4887.0,3.082060052,In Stock,23.0
C,3204.0,3.085218314,In Stock,35.0
C,8557.0,3.082060052,Out of Stock,10.0
D,3152.0,1.574379971,In Stock,6.0
C,1386.0,3.082060052,In Stock,23.0
D,6728.0,3.082060052,In Stock,39.0
C,2194.0,1.064226126,Out of Stock,22.0
C,7452.0,3.082060052,In Stock,14.0
C,5192.0,1.664111382,Out of Stock,25.0
C,9782.0,2.471080862,In Stock,25.0
C,7433.0,3.082060052,In Stock,12.0
C,5036.0,3.082060052,Out of Stock,25.0
C,4740.0,3.082060052,Out of Stock,42.0
D,1263.0,3.082060052,In Stock,25.0
D,8357.0,1.757112961,In Stock,37.0
C,4883.0,3.356603182,In Stock,20.0
C,8437.0,3.876005948,Out of Stock,21.0
C,3543.0,3.545775899,In Stock,6.0
C,6441.0,3.082060052,In Stock,0.0
A,8882.0,3.082060052,In Stock,28.0
D,731.0,3.082060052,In Stock,16.0
B,9812.0,3.759160335,In Stock,25.0
C,7728.0,3.422209755,In Stock,45.0
D,1824.0,1.090942422,In Stock,3.0
C,3447.0,3.082060052,Out of Stock,45.0
C,7622.0,2.701567655,In Stock,15.0
B,3420.0,1.184857146,In Stock,19.0
B,8741.0,3.932441094,Out of Stock,25.0
C,3074.0,3.082060052,In Stock,3.0
C,4996.5,1.121555883,In Stock,32.0
A,3745.0,4.205694491,In Stock,9.0
C,3042.0,3.082060052,Out of Stock,16.0
C,2400.0,1.381172582,Out of Stock,34.0
C,4096.0,3.082060052,In Stock,42.0
C,4157.0,3.082060052,Out of Stock,30.0
C,5339.0,3.082060052,Out of Stock,39.0
D,4602.0,3.082060052,Out of Stock,17.0
D,1966.0,4.343531411,In Stock,4.0
D,7406.0,3.664133949,In Stock,25.0
C,2708.0,4.139442601,In Stock,44.0
C,4996.5,1.065801831,In Stock,7.0
D,1222.0,3.082060052,Out of Stock,49.0
B,3681.0,3.082060052,Out of Stock,8.0
C,8110.0,3.082060052,In Stock,48.0
D,9430.0,1.948900071,In Stock,15.0
A,1328.0,3.082060052,Out of Stock,30.0
C,6185.0,4.989849875,Out of Stock,39.0
C,5541.0,3.082060052,In Stock,7.0
C,9933.0,3.082060052,Out of Stock,40.0
C,3528.0,4.685441757,In Stock,25.0
C,4323.0,3.082060052,Out of Stock,45.0
C,1421.0,1.901802966,In Stock,49.0
C,8414.0,3.082060052,In Stock,24.0
C,575.0,3.180869426,In Stock,40.0
C,5611.0,3.082060052,Out of Stock,33.0
D,3767.0,3.082060052,Out of Stock,33.0
D,9988.0,1.906103855,In Stock,25.0
C,5666.0,2.836677187,In Stock,49.0
C,9959.0,4.622992545,In Stock,46.0
C,8091.0,2.238475112,In Stock,47.0
A,7967.0,3.715056819,In Stock,42.0
C,1011.0,3.15051958,Out of Stock,10.0
A,2593.0,1.145519882,In Stock,43.0
C,9961.0,2.60381616,In Stock,25.0
D,9227.0,2.25204924,In Stock,9.0
B,7307.0,3.082060052,In Stock,36.0
C,5364.0,3.082060052,In Stock,29.0
C,1838.0,3.381167573,Out of Stock,18.0
C,4996.5,3.185219381,In Stock,21.0
B,2997.0,1.190652467,In Stock,16.0
C,2531.0,4.923267636,In Stock,30.0
C,2437.0,4.981286012,In Stock,25.0
C,3034.0,3.769339664,Out of Stock,11.0
B,4573.0,1.823093667,In Stock,5.0
C,2466.0,2.521499444,In Stock,44.0
B,2242.0,3.082060052,In Stock,13.0
C,7805.0,3.082060052,In Stock,20.0
C,2527.0,4.841731762,Out of Stock,49.0
C,1378.0,3.082060052,In Stock,44.0
C,6905.0,3.082060052,In Stock,35.0
C,4960.0,3.991063665,Out of Stock,31.0
C,5019.0,3.082060052,Out of Stock,17.0
C,8568.0,2.269634938,In Stock,15.0
C,7198.0,3.082060052,In Stock,18.0
B,4905.0,3.082060052,Out of Stock,23.0
C,9922.0,4.96669598,In Stock,42.0
C,2774.0,3.082060052,In Stock,0.0
A,4519.0,4.487539499,In Stock,39.0
C,7967.0,3.082060052,In Stock,13.0
C,6551.0,3.082060052,In Stock,28.0
C,3831.0,3.971501091,In Stock,19.0
C,2740.0,3.082060052,In Stock,0.0
C,9069.0,3.082060052,In Stock,28.0
C,743.0,3.266645301,In Stock,25.0
C,4996.5,3.082060052,In Stock,25.0
A,8725.0,3.855020977,In Stock,9.0
B,6703.0,3.082060052,In Stock,9.0
C,4996.5,1.802828523,Out of Stock,19.0
C,7842.0,3.587589046,In Stock,16.0
A,6161.0,2.01289795,Out of Stock,18.0
C,6083.0,2.233474516,Out of Stock,36.0
C,7025.0,4.430414663,In Stock,25.0
C,276.0,3.447754406,In Stock,3.0
C,4369.0,4.083849652,Out of Stock,8.0
C,6546.0,3.082060052,In Stock,49.0
C,2810.0,2.912595366,In Stock,47.0
C,5181.0,3.082060052,In Stock,44.0
A,6848.0,4.92754188,Out of Stock,26.0
C,968.0,1.046048972,In Stock,42.0
D,1999.0,3.613690763,Out of Stock,20.0
B,7902.0,1.739979408,In Stock,44.0
C,5369.0,3.082060052,In Stock,29.0
A,1138.0,4.743874686,In Stock,4.0
C,9151.0,1.225874172,In Stock,18.0
C,1351.0,2.739138172,In Stock,3.0
C,3016.0,1.246998966,In Stock,1.0
C,1132.0,2.043756276,Out of Stock,12.0
C,4874.0,3.082060052,In Stock,20.0
D,4996.5,4.019948636,Out of Stock,5.0
C,1112.0,3.082060052,Out of Stock,1.0
C,7446.0,3.082060052,In Stock,42.0
C,4877.0,3.082060052,In Stock,30.0
A,7769.0,3.082060052,In Stock,45.0
A,4347.0,4.900050372,In Stock,25.0
C,5350.0,3.082060052,Out of Stock,27.0
C,3150.0,3.082060052,In Stock,7.0
C,7050.0,3.082060052,In Stock,37.0
B,6363.0,3.74076211,Out of Stock,13.0
C,7639.0,3.082060052,Out of Stock,33.0
B,1570.0,3.901696196,In Stock,39.0
C,3725.0,3.971817822,In Stock,8.0
C,1253.0,3.082060052,In Stock,24.0
C,4657.0,3.082060052,In Stock,30.0
C,5411.0,3.082060052,Out of Stock,25.0
C,3130.0,3.082060052,In Stock,3.0
D,4062.0,3.519621107,Out of Stock,25.0
B,8524.0,3.082060052,In Stock,5.0
C,8290.0,3.082060052,In Stock,25.0
C,4264.0,3.909681734,In Stock,3.0
C,3030.0,4.987106105,Out of Stock,37.0
C,105.0,1.56339958,Out of Stock,31.0
C,4951.0,3.082060052,In Stock,41.0
C,9551.0,3.082060052,Out of Stock,4.0
B,8084.0,3.082060052,In Stock,24.0
C,9269.0,3.082060052,Out of Stock,10.0
C,9928.0,3.082060052,In Stock,27.0
C,7405.0,3.082060052,In Stock,31.0
C,4552.0,1.764918317,Out of Stock,28.0
C,9251.0,3.082060052,Out of Stock,19.0
D,4983.0,4.27248989,In Stock,7.0
C,9159.0,4.059865053,Out of Stock,9.0
C,3652.0,3.559027854,In Stock,24.0
C,7022.0,1.51632024,Out of Stock,14.0
D,547.0,1.47609924,In Stock,15.0
C,7669.0,3.082060052,In Stock,42.0
C,5107.0,3.082060052,In Stock,17.0
C,6717.0,4.740635466,In Stock,20.0
C,3245.0,4.319033347,Out of Stock,14.0
C,5577.0,4.163708035,In Stock,43.0
C,7120.0,3.453084548,Out of Stock,33.0
A,4996.5,3.082060052,In Stock,18.0
D,6841.0,1.983767141,Out of Stock,28.0
B,5059.0,3.082060052,Out of Stock,16.0
B,5194.0,3.016283432,Out of Stock,12.0
C,1656.0,2.058124524,In Stock,6.0
C,2876.0,3.180535028,In Stock,24.0
C,2904.0,3.736084141,In Stock,43.0
C,8144.0,3.082060052,In Stock,18.0
C,9151.0,3.082060052,In Stock,27.0
C,8378.0,1.093233748,Out of Stock,35.0
B,6686.0,3.447834819,In Stock,49.0
B,7901.0,3.881902706,In Stock,31.0
A,7316.0,1.143166819,In Stock,0.0
C,3029.0,3.082060052,Out of Stock,25.0
C,2197.0,1.770328026,Out of Stock,30.0
A,2030.0,3.082060052,Out of Stock,25.0
C,4996.5,3.082060052,In Stock,44.0
C,9213.0,3.082060052,Out of Stock,47.0
C,1422.0,2.226139979,Out of Stock,28.0
C,2691.0,3.082060052,In Stock,48.0
C,1258.0,2.581632086,In Stock,29.0
C,8763.0,4.802447805,Out of Stock,11.0
C,6433.0,1.790422154,In Stock,25.0
C,7440.0,3.082060052,Out of Stock,25.0
A,4996.5,2.726068144,Out of Stock,34.0
C,7003.0,3.082060052,In Stock,3.0
C,7088.0,4.278213986,Out of Stock,26.0
A,1578.0,3.082060052,In Stock,25.0
D,565.0,1.614622863,In Stock,49.0
C,2723.0,3.082060052,In Stock,44.0
C,3928.0,3.082060052,In Stock,9.0
C,4732.0,3.082060052,Out of Stock,45.0
C,3521.0,3.082060052,In Stock,33.0
D,3056.0,3.082060052,In Stock,3.0
C,8187.0,2.392584276,Out of Stock,25.0
C,6147.0,3.082060052,In Stock,4.0
C,4882.0,3.082060052,In Stock,8.0
C,834.0,4.433580489,Out of Stock,42.0
C,6961.0,3.082060052,In Stock,10.0
C,1398.0,3.082060052,In Stock,13.0
B,4700.0,1.311550036,Out of Stock,22.0
C,7868.0,3.742643663,In Stock,14.0
C,8635.0,3.082060052,In Stock,30.0
C,4601.0,3.393927341,Out of Stock,7.0
C,873.0,3.082060052,In Stock,15.0
